NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Adult,Older Adult,Child,,,
NCT03059485,DC/AML Fusion Cell Vaccine vs Observation in Patients Who Achieve a Chemotherapy-induced Remission,https://clinicaltrials.gov/study/NCT03059485,ACTIVE_NOT_RECRUITING,Acute Myelogenous Leukemia,BIOLOGICAL: DC/AML Fusion Vaccine|OTHER: Observation,Beth Israel Deaconess Medical Center,Celgene|Dana-Farber Cancer Institute,ALL,"ADULT, OLDER_ADULT",PHASE2,82,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06418776,IMPACT-AML: Randomized Pragmatic Clinical Trial for Relapsed or Refractory AML,https://clinicaltrials.gov/study/NCT06418776,RECRUITING,Refractory Acute Myeloid Leukemia|Early Relapses of Acute Myeloid Leukemia,OTHER: Intensive therapy|OTHER: Low intensity therapy,"National Research Center for Hematology, Russia","St. Petersburg State Pavlov Medical University|Federal State Budgetary Institution, V. A. Almazov Federal North-West Medical Research Centre, of the Ministry of Health",ALL,"ADULT, OLDER_ADULT",PHASE3,198,NETWORK,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT04920617,"DPX-Survivac and Pembrolizumab With and Without Intermittent Low-Dose Cyclophosphamide, in Subjects With Relapsed/Refractory Diffuse Large B-Cell Lymphoma",https://clinicaltrials.gov/study/NCT04920617,RECRUITING,Relapsed Diffuse Large B-cell Lymphoma|Refractory Diffuse Large B-cell Lymphoma,DRUG: DPX-Survivac|DRUG: Pembrolizumab|DRUG: CPA,"ImmunoVaccine Technologies, Inc. (IMV Inc.)",Merck Sharp & Dohme LLC,ALL,"ADULT, OLDER_ADULT",PHASE2,102,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT05281809,Local Manufacture of CAR T-Cell Products for the Treatment of B-Cell Lymphoma and B-Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT05281809,RECRUITING,B-Cell Lymphoma|B Acute Lymphoblastic Leukemia|Diffuse Large B Cell Lymphoma|Mantle Cell Lymphoma|Follicular Lymphoma|Marginal Zone Lymphoma|Lymphoplasmacytic Lymphoma|Chronic Lymphocytic Leukemia|Transformed Lymphoma,DRUG: Chimeric Antigen Receptor (CAR) T-Cell Product (Autologous),John Lister,"Lentigen Technology, Inc.|Miltenyi Biotec, Inc.|Allegheny Health Network",ALL,"ADULT, OLDER_ADULT",PHASE2,30,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT06404463,QL1706 Plus Chemotherapy as Neoadjuvant Therapy in Early High-Risk ER+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT06404463,NOT_YET_RECRUITING,Early Breast Cancer|Neoadjuvant Therapy|HR+HER2- Breast Cancer,DRUG: QL1706 (bispecific antibody targeting PD-1 and CLTA-4)|DRUG: Albumin-bound paclitaxel|DRUG: Doxorubicin|DRUG: Cyclophosphamide|DRUG: Epirubicin,Fudan University,None listed,FEMALE,"ADULT, OLDER_ADULT",PHASE2,76,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT05827549,Evaluation of Treatment Efficacy According to Risk Group in Relapsed Childhood Acute Lymphoblastic Leukemia,https://clinicaltrials.gov/study/NCT05827549,RECRUITING,Acute Lymphoid Leukemia,DRUG: Reinduction(4weeks)|DRUG: Cosolodation 1st(3weeks)|DRUG: Consolidation 2nd(3weeks)|DRUG: Blinatumomab 1st(High Risk Group)_4 Weeks|DRUG: Blinatumomab 2nd (High Risk Group)_4 Weeks|DRUG: Blinatumomab-Salvage 1st (Very High Risk Group)_4 Weeks|DRUG: Blinatumomab-Salvage 2nd (Very High Risk Group)_4 Weeks|DRUG: Intensification course|DRUG: Maintenance(12 Weeks/Cycle)|PROCEDURE: Stem Cell Transplantation,Ho Joon Im,Samsung Medical Center|Seoul National University Hospital|Severance Hospital|Pusan National University Yangsan Hospital|Seoul St. Mary's Hospital|Chonnam National University Hospital|Chungnam National University Hospital|Jeju National University Hospital|Kyungpook National University Chilgok Hospital,ALL,"CHILD, ADULT",PHASE2,90,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,0,1,,,
NCT05709249,Xian-Lian-Jie-Du Optimization Decoction As an Adjuvant Treatment for Prevention of Recurrence of Colon Cancer,https://clinicaltrials.gov/study/NCT05709249,RECRUITING,Colon Cancer,DRUG: XLJDOD compound granule|DRUG: placebo (XLJDOD mimetic agent),"Jiangsu Famous Medical Technology Co., Ltd.",Jiangsu Province Hospital of Traditional Chinese Medicine|Ministry of Science and Technology of the People´s Republic of China,ALL,"ADULT, OLDER_ADULT",PHASE3,730,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: PREVENTION",1,1,0,,,
NCT03620578,"DA-EPOCH-R Induction Followed by Nivolumab Consolidation in Newly Diagnosed MYC, BCL2 and/or BCL6 Rearranged HGBL",https://clinicaltrials.gov/study/NCT03620578,ACTIVE_NOT_RECRUITING,"Non Hodgkin Lymphoma|Lymphoma, B-Cell|High-grade B-cell Lymphoma|MYC Translocation|BCL-2 Translocation",DRUG: DA-EPOCH-R followed by Nivolumab,Stichting Hemato-Oncologie voor Volwassenen Nederland,None listed,ALL,"ADULT, OLDER_ADULT",PHASE2,97,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
NCT05692635,Reducing the Incidence of Symptomatic Brain Metastases With MRI Surveillance,https://clinicaltrials.gov/study/NCT05692635,RECRUITING,Brain Metastases|Nonsmall Cell Lung Cancer Stage III,DIAGNOSTIC_TEST: MRI of the Brain|OTHER: Blood draws|OTHER: Quality of Life Questionnaires|DRUG: Gadolinium,Wake Forest University Health Sciences,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,60,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: DIAGNOSTIC,1,1,0,,,
NCT07174908,A Phase 3 Study of IN10018 in Combination With D-1553 Versus Standard Therapy for First Line Non-squamous Non-small Cell Lung Cancer With KRAS G12C Mutation,https://clinicaltrials.gov/study/NCT07174908,RECRUITING,Non-Small Cell Lung Cancer,DRUG: IN10018 in combination with D-1553|DRUG: anti-PD-1 monoclonal antibody in combination with platinum and pemetrexed,"InxMed (Shanghai) Co., Ltd.",None listed,ALL,"ADULT, OLDER_ADULT",PHASE3,400,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED | Intervention Model: PARALLEL | Masking: NONE | Primary Purpose: TREATMENT,1,1,0,,,
